Scode,Coname,ActlDt
600416,湘电股份,2016/8/25
600416,湘电股份,2016/10/29
600416,湘电股份,2017/3/30
600416,湘电股份,2017/4/29
600416,湘电股份,2017/8/31
600416,湘电股份,2017/10/31
600416,湘电股份,2018/3/30
600416,湘电股份,2018/4/28
600416,湘电股份,2018/8/28
600416,湘电股份,2018/10/31
600416,湘电股份,2019/4/26
600416,湘电股份,2019/4/30
600418,江淮汽车,2002/3/28
600418,江淮汽车,2002/4/30
600418,江淮汽车,2002/8/21
600418,江淮汽车,2002/10/29
600418,江淮汽车,2003/3/6
600418,江淮汽车,2003/4/29
600418,江淮汽车,2003/7/30
600418,江淮汽车,2004/1/30
600418,江淮汽车,2004/4/24
600418,江淮汽车,2004/8/27
600418,江淮汽车,2004/10/15
600418,江淮汽车,2005/2/25
600418,江淮汽车,2005/4/14
600418,江淮汽车,2005/8/11
600418,江淮汽车,2005/10/24
600418,江淮汽车,2006/3/2
600418,江淮汽车,2006/4/25
600418,江淮汽车,2006/8/17
600418,江淮汽车,2006/10/27
600418,江淮汽车,2007/4/19
600418,江淮汽车,2007/4/30
600418,江淮汽车,2007/8/24
600418,江淮汽车,2007/10/30
600418,江淮汽车,2008/4/10
600418,江淮汽车,2008/4/25
600418,江淮汽车,2008/8/13
600418,江淮汽车,2008/10/31
600418,江淮汽车,2009/2/27
600418,江淮汽车,2009/4/23
600418,江淮汽车,2009/8/18
600418,江淮汽车,2009/10/30
600418,江淮汽车,2010/3/27
600418,江淮汽车,2010/4/22
600418,江淮汽车,2010/8/10
600418,江淮汽车,2010/10/28
600418,江淮汽车,2011/3/18
600418,江淮汽车,2011/4/25
600418,江淮汽车,2011/8/10
600418,江淮汽车,2011/10/25
600418,江淮汽车,2012/3/28
600418,江淮汽车,2012/4/18
600418,江淮汽车,2012/8/10
600418,江淮汽车,2012/10/31
600418,江淮汽车,2013/3/30
600418,江淮汽车,2013/4/27
600418,江淮汽车,2013/8/9
600418,江淮汽车,2013/10/19
600418,江淮汽车,2014/3/1
600418,江淮汽车,2014/4/30
600418,江淮汽车,2014/8/26
600418,江淮汽车,2014/10/25
600418,江淮汽车,2015/4/29
600418,江淮汽车,2015/4/29
600418,江淮汽车,2015/8/11
600418,江淮汽车,2015/10/30
600418,江淮汽车,2016/4/29
600418,江淮汽车,2016/8/30
600418,江淮汽车,2016/10/29
600418,江淮汽车,2017/3/22
600418,江淮汽车,2017/4/28
600418,江淮汽车,2017/8/31
600418,江淮汽车,2017/10/27
600418,江淮汽车,2018/3/21
600418,江淮汽车,2018/4/27
600418,江淮汽车,2018/8/30
600418,江淮汽车,2018/10/30
600418,江淮汽车,2019/4/30
600418,江淮汽车,2019/4/30
600419,天润乳业,2001/8/7
600419,天润乳业,2002/3/15
600419,天润乳业,2002/4/24
600419,天润乳业,2002/8/15
600419,天润乳业,2002/10/25
600419,天润乳业,2003/3/21
600419,天润乳业,2003/4/29
600419,天润乳业,2003/8/21
600419,天润乳业,2003/10/28
600419,天润乳业,2004/3/20
600419,天润乳业,2004/4/28
600419,天润乳业,2004/8/24
600419,天润乳业,2004/10/29
600419,天润乳业,2005/3/23
600419,天润乳业,2005/4/30
600419,天润乳业,2005/8/25
600419,天润乳业,2005/10/24
600419,天润乳业,2006/4/29
600419,天润乳业,2006/4/29
600419,天润乳业,2006/8/23
600419,天润乳业,2006/10/26
600419,天润乳业,2007/2/10
600419,天润乳业,2007/4/23
600419,天润乳业,2007/8/8
600419,天润乳业,2007/10/25
600419,天润乳业,2008/4/29
600419,天润乳业,2008/4/30
600419,天润乳业,2008/8/25
600419,天润乳业,2008/10/27
600419,天润乳业,2009/4/21
600419,天润乳业,2009/8/28
600419,天润乳业,2009/10/28
600419,天润乳业,2010/4/2
600419,天润乳业,2010/4/21
600419,天润乳业,2010/8/5
600419,天润乳业,2010/10/26
600419,天润乳业,2011/4/22
600419,天润乳业,2011/8/19
600419,天润乳业,2011/10/27
600419,天润乳业,2012/4/24
600419,天润乳业,2012/8/15
600419,天润乳业,2012/10/30
600419,天润乳业,2013/1/31
600419,天润乳业,2013/4/16
600419,天润乳业,2013/8/1
600419,天润乳业,2013/10/30
600419,天润乳业,2014/4/18
600419,天润乳业,2014/4/25
600419,天润乳业,2014/8/21
600419,天润乳业,2014/10/28
600419,天润乳业,2015/3/20
600419,天润乳业,2015/4/23
600419,天润乳业,2015/8/14
600419,天润乳业,2015/10/28
600419,天润乳业,2016/3/29
600419,天润乳业,2016/4/26
600419,天润乳业,2016/8/24
600419,天润乳业,2016/10/28
600419,天润乳业,2017/3/30
600419,天润乳业,2017/4/20
600419,天润乳业,2017/8/25
600419,天润乳业,2017/10/24
600419,天润乳业,2018/3/27
600419,天润乳业,2018/4/20
600419,天润乳业,2018/8/24
600419,天润乳业,2018/10/25
600419,天润乳业,2019/3/28
600419,天润乳业,2019/4/19
600420,现代制药,2004/8/31
600420,现代制药,2004/10/28
600420,现代制药,2005/4/12
600420,现代制药,2005/4/27
600420,现代制药,2005/8/3
600420,现代制药,2005/10/26
600420,现代制药,2006/3/25
600420,现代制药,2006/4/24
600420,现代制药,2006/8/21
600420,现代制药,2006/10/25
600420,现代制药,2007/3/31
600420,现代制药,2007/4/27
600420,现代制药,2007/8/22
600420,现代制药,2007/10/26
600420,现代制药,2008/3/4
600420,现代制药,2008/4/22
600420,现代制药,2008/8/19
600420,现代制药,2008/10/30
600420,现代制药,2009/4/2
600420,现代制药,2009/4/28
600420,现代制药,2009/8/19
600420,现代制药,2009/10/30
600420,现代制药,2010/2/27
600420,现代制药,2010/4/26
600420,现代制药,2010/7/29
600420,现代制药,2010/10/23
600420,现代制药,2011/1/28
600420,现代制药,2011/4/29
600420,现代制药,2011/8/20
600420,现代制药,2011/10/22
600420,现代制药,2012/3/9
600420,现代制药,2012/4/23
600420,现代制药,2012/8/23
600420,现代制药,2012/10/31
600420,现代制药,2013/3/30
600420,现代制药,2013/4/26
600420,现代制药,2013/8/29
600420,现代制药,2013/10/26
600420,现代制药,2014/3/28
600420,现代制药,2014/4/30
600420,现代制药,2014/8/20
600420,现代制药,2014/10/31
600420,现代制药,2015/4/9
600420,现代制药,2015/4/30
600420,现代制药,2015/8/8
600420,现代制药,2015/10/30
600420,现代制药,2016/4/8
600420,现代制药,2016/4/29
600420,现代制药,2016/8/31
600420,现代制药,2016/10/22
600420,现代制药,2017/3/23
600420,现代制药,2017/4/21
600420,现代制药,2017/8/18
600420,现代制药,2017/10/25
600420,现代制药,2018/3/22
600420,现代制药,2018/4/18
600420,现代制药,2018/8/17
600420,现代制药,2018/10/26
600420,现代制药,2019/4/19
600420,现代制药,2019/4/26
600421,*ST仰帆,2004/8/12
600421,*ST仰帆,2004/10/27
600421,*ST仰帆,2005/3/30
600421,*ST仰帆,2005/4/27
600421,*ST仰帆,2005/8/30
600421,*ST仰帆,2005/10/31
600421,*ST仰帆,2006/4/18
600421,*ST仰帆,2006/4/26
600421,*ST仰帆,2006/8/19
600421,*ST仰帆,2006/10/31
600421,*ST仰帆,2007/4/26
600421,*ST仰帆,2007/4/26
600421,*ST仰帆,2007/8/31
600421,*ST仰帆,2007/10/31
600421,*ST仰帆,2008/4/30
600421,*ST仰帆,2008/4/30
600421,*ST仰帆,2008/8/26
600421,*ST仰帆,2008/10/27
600421,*ST仰帆,2009/4/30
600421,*ST仰帆,2009/4/30
600421,*ST仰帆,2009/8/19
600421,*ST仰帆,2009/10/28
600421,*ST仰帆,2010/4/27
600421,*ST仰帆,2010/8/23
600421,*ST仰帆,2010/10/25
600421,*ST仰帆,2011/4/26
600421,*ST仰帆,2011/8/26
600421,*ST仰帆,2011/10/27
600421,*ST仰帆,2012/4/27
600421,*ST仰帆,2012/8/24
600421,*ST仰帆,2012/10/26
600421,*ST仰帆,2013/2/5
600421,*ST仰帆,2013/4/25
600421,*ST仰帆,2013/8/23
600421,*ST仰帆,2013/10/25
600421,*ST仰帆,2014/3/21
600421,*ST仰帆,2014/4/25
600421,*ST仰帆,2014/8/15
600421,*ST仰帆,2014/10/30
600421,*ST仰帆,2015/4/30
600421,*ST仰帆,2015/8/15
600421,*ST仰帆,2015/10/29
600421,*ST仰帆,2016/4/28
600421,*ST仰帆,2016/4/28
600421,*ST仰帆,2016/8/19
600421,*ST仰帆,2016/10/29
600421,*ST仰帆,2017/4/27
600421,*ST仰帆,2017/8/26
600421,*ST仰帆,2017/10/28
600421,*ST仰帆,2018/4/28
600421,*ST仰帆,2018/4/28
600421,*ST仰帆,2018/8/25
600421,*ST仰帆,2018/10/27
600421,*ST仰帆,2019/4/26
600421,*ST仰帆,2019/4/26
600422,昆药集团,2001/3/6
600422,昆药集团,2002/3/26
600422,昆药集团,2002/4/30
600422,昆药集团,2002/8/3
600422,昆药集团,2002/10/30
600422,昆药集团,2003/4/12
600422,昆药集团,2003/8/23
600422,昆药集团,2003/10/18
600422,昆药集团,2004/4/13
600422,昆药集团,2004/4/29
600422,昆药集团,2004/8/30
600422,昆药集团,2004/10/25
600422,昆药集团,2005/2/28
600422,昆药集团,2005/4/20
600422,昆药集团,2005/8/27
600422,昆药集团,2005/10/29
600422,昆药集团,2006/4/29
600422,昆药集团,2006/7/24
600422,昆药集团,2006/10/28
600422,昆药集团,2007/3/10
600422,昆药集团,2007/4/30
600422,昆药集团,2007/8/18
600422,昆药集团,2007/10/26
600422,昆药集团,2008/3/31
600422,昆药集团,2008/4/28
600422,昆药集团,2008/8/15
600422,昆药集团,2008/10/24
600422,昆药集团,2009/3/28
600422,昆药集团,2009/4/29
600422,昆药集团,2009/7/31
600422,昆药集团,2009/10/15
600422,昆药集团,2010/4/23
600422,昆药集团,2010/8/20
600422,昆药集团,2010/10/29
600422,昆药集团,2011/3/3
600422,昆药集团,2011/4/23
600422,昆药集团,2011/7/29
600422,昆药集团,2011/10/25
600422,昆药集团,2012/2/20
600422,昆药集团,2012/4/28
600422,昆药集团,2012/8/15
600422,昆药集团,2012/10/30
600422,昆药集团,2013/3/12
600422,昆药集团,2013/4/25
600422,昆药集团,2013/8/23
600422,昆药集团,2013/10/25
600422,昆药集团,2014/3/14
600422,昆药集团,2014/4/23
