"","permno","pilu","date","cumret"
"70",17,2,2016-04-27,1.020815530821
"71",17,3,2016-08-26,0.825944433680829
"72",17,4,2016-10-28,0.998674766474192
"73",17,5,2017-04-20,1.001027
"74",17,6,2017-04-28,1.062706
"75",17,7,2017-08-30,0.993446743353261
"76",17,8,2017-10-27,1.00398445253828
"77",17,9,2018-04-18,0.965616541458038
"78",17,10,2018-04-26,0.971388385989368
"79",17,11,2018-08-22,0.866930596586681
"80",17,12,2018-10-26,1.09004678693046
"81",18,1,2016-04-15,0.922417936967636
"82",18,4,2016-10-26,0.995309225762113
"83",18,5,2017-04-28,0.960558472918554
"84",18,9,2018-04-25,0.928317274765142
"85",18,11,2018-08-31,0.870185358175894
"86",18,12,2018-10-31,1.05715123271374
"87",21,1,2016-03-31,1.01479925819149
"88",21,2,2016-04-27,0.98713371941358
"89",21,3,2016-08-31,0.97950095451164
"90",21,4,2016-10-31,0.961707414458944
"91",21,5,2017-03-31,0.961445947361825
"92",21,7,2017-08-25,1.00516308083813
"93",21,8,2017-10-31,1.0032495969556
"94",21,9,2018-04-12,0.969096355582612
"95",21,12,2018-10-31,1.0369385642486
"96",22,1,2016-03-28,0.952977130106498
"97",22,2,2016-04-27,0.924147382829404
"98",22,3,2016-08-26,0.951631497442236
"99",22,4,2016-10-28,0.982453154895048
"100",22,5,2017-03-28,1.05160358396501
"101",22,6,2017-04-28,0.986966754742053
"102",22,7,2017-08-25,0.97828004224423
"103",22,8,2017-10-30,0.963261228786925
"104",22,11,2018-08-31,0.991847309011317
"105",22,12,2018-10-31,0.948577991317592
"106",23,2,2016-04-27,1.01454319048693
"107",23,4,2016-10-25,1.02244023097588
"108",23,5,2017-03-14,0.991059448414251
"109",23,6,2017-04-27,0.973429653523997
"110",23,8,2017-10-26,1.03047902454911
"111",23,9,2018-04-20,0.930835040309265
"112",23,11,2018-08-27,0.949353307685117
"113",23,12,2018-10-30,0.908126736837139
"114",25,1,2016-04-15,1.00139699054133
"115",25,2,2016-04-29,0.995927656404835
"116",25,3,2016-08-26,0.988727967097149
"117",25,4,2016-10-28,0.975293578984453
"118",25,6,2017-04-28,0.949693195837267
"119",25,7,2017-08-31,0.990089472038966
"120",25,8,2017-10-31,0.994366168096698
"121",25,9,2018-04-03,1.02644242672719
"122",25,10,2018-04-27,1.01110813132548
"123",25,11,2018-08-22,0.934575566474592
"124",25,12,2018-10-30,0.97394672342177
"125",26,1,2016-03-10,0.982462663268191
"126",26,2,2016-04-15,1.02110376413645
"127",26,3,2016-08-26,0.991555216529303
"128",26,4,2016-10-27,0.98991611307457
"129",26,5,2017-03-10,1.01419515604255
"130",26,6,2017-04-19,0.929305440847926
